station_id,station_name,observation_time_utc,year,month,day,hour_utc,air_temp_c,air_temp_max_c,air_temp_min_c,relative_humidity_pct,vapor_pressure_hpa,dew_point_c,wind_speed_avg_ms,wind_speed_max_ms,wind_gust_max_ms,wind_dir_deg,wind_dir_cardinal,sea_level_pressure_hpa,precipitation_mm,road_surface_temp_c,road_surface_temp_max_c,road_surface_temp_min_c,ground_temp_c,ground_temp_min_c,turf_temp_5cm_c,turf_temp_10cm_c,turf_temp_15cm_c,turf_temp_20cm_c,turf_temp_50cm_c,turf_temp_100cm_c,global_radiation_wm2,global_radiation_max_wm2,shortwave_radiation_wm2,shortwave_radiation_max_wm2,sunshine_duration_s,sunshine_duration_max_s,longwave_in_radiation_wm2,longwave_in_radiation_max_wm2,longwave_out_radiation_wm2,longwave_out_radiation_max_wm2,uv_radiation_wm2,uv_radiation_max_wm2,sunshine_duration_min,measurement_count,lat,lon,distance_km,matched_point,waypoint_id,stop_name,region,latitude,longitude,timestamp,wind_speed_ms,wind_gust_ms,temperature_c,road_status
1469,Reykjavík Hljómskálagarður,2026-08-07T17:00:00,2026,8,7,17,11.8,12.1,11.8,94.0,13.1,10.9,1.3,3.0,6.2,149,SSE,,,,,,,,,,,,,,,,,,,,,,,,,,,6,64.1410522461,-21.9436302185,0.67,"Origin: Reykjavík, Iceland",1,Reykjavík Hljómskálagarður,"Data not available, please try later",64.1410522461,-21.9436302185,2026-08-07T17:00:00,1.3,6.2,11.8,Open
1475,Reykjavík - Bústaðavegur,2026-08-07T17:00:00,2026,8,7,17,11.6,11.7,11.5,,,,2.5,4.0,6.8,100,E,998.7,,,,,,,,,,,,,,,,,,,,,,,,,,6,64.1275482178,-21.9020004272,0.64,Leg 1 Step 7,2,Reykjavík - Bústaðavegur,"Data not available, please try later",64.1275482178,-21.9020004272,2026-08-07T17:00:00,2.5,6.8,11.6,Open
1482,Reykjavík Víðidalur,2026-08-07T17:00:00,2026,8,7,17,11.3,11.7,11.2,89.0,12.0,9.6,3.5,3.5,6.4,81,E,999.1,,,,,,,,,,,,,,,,,,,,,,,,,,6,64.1034698486,-21.7972507477,2.36,Leg 1 Step 8,3,Reykjavík Víðidalur,"Data not available, please try later",64.1034698486,-21.7972507477,2026-08-07T17:00:00,3.5,6.4,11.3,Open
1493,Ölkelduháls,2026-08-07T17:00:00,2026,8,7,17,9.0,9.0,8.8,100.0,11.5,9.0,4.1,4.1,6.2,105,ESE,,,,,,,,,,,,,,,,,,,,,,,,,,,6,64.0552825928,-21.2531700134,7.29,Leg 1 Step 12,4,Ölkelduháls,"Data not available, please try later",64.0552825928,-21.2531700134,2026-08-07T17:00:00,4.1,6.2,9.0,Open
31399,Ingólfsfjall,2026-08-07T17:00:00,2026,8,7,17,11.0,11.2,10.9,98.0,12.9,10.7,2.6,4.4,6.3,91,E,,,,,,,,,,,,,,,,,,,,,,,,,,,6,63.9574012756,-21.0632801056,2.14,Leg 1 Step 13,5,Ingólfsfjall,"Data not available, please try later",63.9574012756,-21.0632801056,2026-08-07T17:00:00,2.6,6.3,11.0,Open
6300,Selfoss,2026-08-07T17:00:00,2026,8,7,17,11.3,11.4,11.0,95.0,12.7,10.5,1.1,1.7,3.4,87,E,,,,,,,,,,,,,,,,,,,,,,,,,,,6,63.9355010986,-20.9706707001,1.64,Leg 1 Step 15,6,Selfoss,"Data not available, please try later",63.9355010986,-20.9706707001,2026-08-07T17:00:00,1.1,3.4,11.3,Open
6315,Hella,2026-08-07T17:00:00,2026,8,7,17,11.8,,,94.0,,10.8,2.4,2.4,3.5,151,SSE,,,13.04,13.21,12.76,,,,,,,,,,,,,,,,,,,,,,6,63.8256797791,-20.3653793335,8.97,Leg 1 Step 17,7,Hella,"Data not available, please try later",63.8256797791,-20.3653793335,2026-08-07T17:00:00,2.4,3.5,11.8,Open
6272,Kirkjubæjarklaustur - Stjórnarsandur,2026-08-07T17:00:00,2026,8,7,17,10.9,11.2,10.9,93.0,12.1,9.8,4.8,5.7,7.7,126,SE,999.4,,,,,,,,,,,,,,,,,,,,,,,,,,6,63.7930488586,-18.0119495392,1.36,Leg 1 Step 19,8,Kirkjubæjarklaustur - Stjórnarsandur,"Data not available, please try later",63.7930488586,-18.0119495392,2026-08-07T17:00:00,4.8,7.7,10.9,Open
6499,Skaftafell,2026-08-07T17:00:00,2026,8,7,17,11.8,12.6,11.4,85.0,,9.3,1.3,1.7,2.9,84,E,,,,,,,,,,,,,,,,,,,,,,,,,,,6,64.0143737793,-16.972120285,1.69,Leg 1 Step 20,9,Skaftafell,"Data not available, please try later",64.0143737793,-16.972120285,2026-08-07T17:00:00,1.3,2.9,11.8,Open
1481,Hólmsheiði,2026-08-07T17:00:00,2026,8,7,17,10.8,11.2,10.8,,,,6.0,6.0,7.9,120,ESE,998.4,,,,,,,,,,,,,,,,,,,,,,,,,,6,64.1084976196,-21.6863708496,3.28,Polyline Sample (~17.0km),10,Hólmsheiði,"Data not available, please try later",64.1084976196,-21.6863708496,2026-08-07T17:00:00,6.0,7.9,10.8,Open
